"Account","Konto"
"Compare", "Vergleichen"
"Cart", "Wagen"
"Total", "Gesamt"
"View shopping cart", "Warenkorb anzeigen"
"Search", "Suche"
"View All", "Alle anzeigen"
"Log In", "Anmelden"
"Log Out", "Abmelden"
"Wishlist", "Wunschzettel"
"Checkout", "Kasse"
"MENU", "MENU"
"Add to Cart", "In den Warenkorb"
"Add to Compare", "Auf die Vergleichsliste"
"Add to Wish List", "Zur Wunschliste hinzufügen"
"scroll to view content", "scrollen um Inhalt zu sehen"
"FACEBOOK", "FACEBOOK"
"TWITTER FEEDS", "TWITTER-FEEDS"
"Video", "Video"
"Find Us", "So finden Sie uns"
"Sale", "Verkauf"
"New", "Neu"
"Quick View", "Schnellansicht"
"NEWSLETTER SIGNUP", "Anmeldung zum Newsletter"
"Enter your email and we'll send you a coupon with 10% off your next order.", "Geben Sie Ihre E-Mail ein und Sie erhalten einen Gutschein mit 10% Rabatt auf Ihre nächste Bestellung."
"Your E-mail...", "Ihre E-mail..."
"Select Store:", "Wählen Store:"
"Sign Up for Our Newsletter to receive latest news and events.", "Anmeldung für unseren Newsletter um Neuigkeiten und Events zu erhalten."
"SHOP BY CATEGORIES", "NACH KATEGORIEN"
"This limited  offer ends in", "Diese limitierte Angebot endet in"
"Years", "Jahre"
"Year", "Jahr"
"Months", "Monate"
"Month", "Monat"
"Weeks", "Wochen"
"Week", "Woche"
"Days", "Tage"
"Day", "Tag"
"Hours", "Stunden"
"Hour", "Stunde"
"Minutes", "Protokoll"
"Minute", "Minute"
"Seconds", "Sekunden"
"Second", "Zweite"
"y", "y"
"m", "m"
"w", "w"
"d", "d"
"0", "0"
"1", "1"
"2", "2"
"3", "3"
"4", "4"
"5", "5"
"6", "6"
"7", "7"
"8", "8"
"9", "9"
"Quantity", "Menge"
"BUY NOW", "JETZT KAUFEN"
"Description", "Beschreibung"
"Description", "Beschreibung"
"Reviews", "Bewertungen"
"Tags", "Schlagworte"
"View", "Anzeigen"
"SEND MESSAGE", "NACHRICHT SENDEN"
"Product", "Produkt"
"Price", "Preis"
"Quantity", "Menge"
"View full info", "Sehen Sie alle Infos"
"View", "Anzeigen"
"Read More", "Lesen Sie weiter"
"Continue reading <span class=\"meta-nav\">&rarr;</span>","Mehr <span class=\"icon icon-arrow-right-5\"></span>"
"Name:", "Name:"
"E-Mail:", "E-Mail:"
"Comment", "Kommentar"
"Website:", "Website:"
"Your browser doesn't support 3D gallery. Please update to modern browser.", "Ihr Browser unterstützt keine 3D-Galerie. Bitte aktualisieren Sie auf moderne Browser."
"all", "alle"
"My Wishlist","Mein Wunschzettel"
"My Wishlist (%d item)","Mein Wunschzettel (%d Artikel)"
"My Wishlist (%d items)","Mein Wunschzettel (%d Artikel)"
"Cart (%s item)","Warenkorb (%s Artikel)"
"Cart (%s items)","Warenkorb (%s Einträge)"
"Compare (0)","Vergleich (0)"
"Compare (%d items)","Vergleichen (%d Artikel)"
"Compare (%d item)","Vergleichen (%d Artikel)"
"was added to your cart","wurde in Ihrem Warenkorb hinzugefügt"