"Account","帐户"
"Compare", "比较"
"Cart", "购物车"
"Total", "总"
"View shopping cart", "查看购物车"
"Search", "搜索"
"View All", "查看全部"
"Log In", "登录"
"Log Out", "注销"
"Wishlist", "收藏"
"Checkout", "结帐"
"MENU", "MENU（菜单）"
"Add to Cart", "加入购物车"
"Add to Compare", "加入比较"
"Add to Wish List", "添加到购物清单"
"scroll to view content", "滚动查看内容"
"FACEBOOK", "FACEBOOK"
"TWITTER FEEDS", "Twitter的饲料 "
"Video", "视频"
"Find Us", "找到我们"
"Sale", "卖"
"New", "新"
"Quick View", "快速查看"
"NEWSLETTER SIGNUP", "订阅电子报"
"Enter your email and we'll send you a coupon with 10% off your next order.", "请输入您的电子邮件，我们会向您发送优惠券，10％关闭您的下一个订单。"
"Your E-mail...", "您的E-mail..."
"Select Store:", "选择商店："
"Sign Up for Our Newsletter to receive latest news and events.", "订阅我们的时事通讯以接收最新的新闻和事件。"
"SHOP BY CATEGORIES", "商店按类别"
"This limited  offer ends in", "在这有限的要约结束"
"Years", "岁月"
"Year", "年"
"Months", "个月"
"Month", "月"
"Weeks", "周"
"Week", "周"
"Days", "天"
"Day", "日"
"Hours", "小时"
"Hour", "小时"
"Minutes", "会议纪要"
"Minute", "分钟"
"Seconds", "秒"
"Second", "第二"
"y", "y"
"m", "m"
"w", "w"
"d", "d"
"0", "0"
"1", "1"
"2", "2"
"3", "3"
"4", "4"
"5", "5"
"6", "6"
"7", "7"
"8", "8"
"9", "9"
"Quantity", "数量"
"BUY NOW", "现在购买"
"Description", "描述"
"Description", "描述"
"Reviews", "评论"
"Tags", "标签"
"View", "视图"
"SEND MESSAGE", "送信"
"Product", "产品"
"Price", "价格"
"Quantity", "数量"
"View full info", "查看完整信息"
"View", "视图"
"Read More", "阅读更多"
"Continue reading <span class=\"meta-nav\">&rarr;</span>","继续阅读<span class=\"icon icon-arrow-right-5\"></span>"
"Name:", "产品名称："
"E-Mail:", "电子邮件："
"Comment", "评论"
"Website:", "网址："
"Your browser doesn't support 3D gallery. Please update to modern browser.", "您的浏览器不支持3D画廊。请更新到最新的浏览器。"
"all", "所有"
"My Wishlist","我的收藏"
"My Wishlist (%d item)","我的收藏（％d 个项目）"
"My Wishlist (%d items)","我的收藏（％d 项）"
"Cart (%s item)","购物车（％s 的项目）"
"Cart (%s items)","购物车（％s 的项目）"
"Compare (0)","比较（0）"
"Compare (%d items)","比较（％d 项）"
"Compare (%d item)","比较（％d 个项目）"
"was added to your cart","添加到您的购物车"